time: 2000000000
256 1 1
256 2 1
256 3 1
256 4 1
256 5 1
256 6 1
256 7 1
256 8 1
256 9 1
256 10 1
256 11 1
256 12 1
256 13 1
256 14 1
256 15 1
256 16 1
256 17 1
256 18 1
256 19 1
256 20 1
256 21 1
256 22 1
256 23 1
256 24 1
256 25 1
256 26 1
256 27 1
256 28 1
256 29 1
256 30 1
256 31 1
256 32 1
257 1 1
257 2 1
257 3 1
257 4 1
257 5 1
257 6 1
257 7 1
257 8 1
257 9 1
257 10 1
257 11 1
257 12 1
257 13 1
257 14 1
257 15 1
257 16 1
257 17 1
257 18 1
257 19 1
257 20 1
257 21 1
257 22 1
257 23 1
257 24 1
257 25 1
257 26 1
257 27 1
257 28 1
257 29 1
257 30 1
257 31 1
257 32 1
258 1 1
258 2 1
258 3 1
258 4 1
258 5 1
258 6 1
258 7 1
258 8 1
258 9 1
258 10 1
258 11 1
258 12 1
258 13 1
258 14 1
258 15 1
258 16 1
258 17 1
258 18 1
258 19 1
258 20 1
258 21 1
258 22 1
258 23 1
258 24 1
258 25 1
258 26 1
258 27 1
258 28 1
258 29 1
258 30 1
258 31 1
258 32 1
259 1 1
259 2 1
259 3 1
259 4 1
259 5 1
259 6 1
259 7 1
259 8 1
259 9 1
259 10 1
259 11 1
259 12 1
259 13 1
259 14 1
259 15 1
259 16 1
259 17 1
259 18 1
259 19 1
259 20 1
259 21 1
259 22 1
259 23 1
259 24 1
259 25 1
259 26 1
259 27 1
259 28 1
259 29 1
259 30 1
259 31 1
259 32 1
260 1 1
260 2 1
260 3 1
260 4 1
260 5 1
260 6 1
260 7 1
260 8 1
260 9 1
260 10 1
260 11 1
260 12 1
260 13 1
260 14 1
260 15 1
260 16 1
260 17 1
260 18 1
260 19 1
260 20 1
260 21 1
260 22 1
260 23 1
260 24 1
260 25 1
260 26 1
260 27 1
260 28 1
260 29 1
260 30 1
260 31 1
260 32 1
261 1 1
261 2 1
261 3 1
261 4 1
261 5 1
261 6 1
261 7 1
261 8 1
261 9 1
261 10 1
261 11 1
261 12 1
261 13 1
261 14 1
261 15 1
261 16 1
261 17 1
261 18 1
261 19 1
261 20 1
261 21 1
261 22 1
261 23 1
261 24 1
261 25 1
261 26 1
261 27 1
261 28 1
261 29 1
261 30 1
261 31 1
261 32 1
262 1 1
262 2 1
262 3 1
262 4 1
262 5 1
262 6 1
262 7 1
262 8 1
262 9 1
262 10 1
262 11 1
262 12 1
262 13 1
262 14 1
262 15 1
262 16 1
262 17 1
262 18 1
262 19 1
262 20 1
262 21 1
262 22 1
262 23 1
262 24 1
262 25 1
262 26 1
262 27 1
262 28 1
262 29 1
262 30 1
262 31 1
262 32 1
263 1 1
263 2 1
263 3 1
263 4 1
263 5 1
263 6 1
263 7 1
263 8 1
263 9 1
263 10 1
263 11 1
263 12 1
263 13 1
263 14 1
263 15 1
263 16 1
263 17 1
263 18 1
263 19 1
263 20 1
263 21 1
263 22 1
263 23 1
263 24 1
263 25 1
263 26 1
263 27 1
263 28 1
263 29 1
263 30 1
263 31 1
263 32 1
264 1 1
264 2 1
264 3 1
264 4 1
264 5 1
264 6 1
264 7 1
